objectid,filename,youtubeid,vimeoid,title,occupation,date_lifespan,creator,date_certain,date,description,identifier,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement
coll0114,FGV_Visitkort_055B.jpg,,,"Ström, Carl August",,,Svante Leonard Rydholm,,1864,Carl August Ström,F1964_1980,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0115,FGV_Visitkort_056A.jpg,,,"Ström, Mimmi",,,N.B. Ögren,,1874,Fru Mimmi Ström f. Regnstrand,F1964_1981,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0116,FGV_Visitkort_056B.jpg,,,"Ström, Mimmi",,,N.B. Ögren,,1874,Fru Mimmi Ström f. Regnstrand,F1964_1981,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0117,FGV_Visitkort_057A.jpg,,,"Ström, Carl",,,C.H. Gustafsson,,1884,Carl Ström,F1964_1983,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0118,FGV_Visitkort_057B.jpg,,,"Ström, Carl",,,C.H. Gustafsson,,1884,Carl Ström,F1964_1983,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0119,FGV_Visitkort_058A.jpg,,,"Toll, Svante Josef",Löjtnant; Gymnastiklärare,1837-1903,,,1870,Svante Josef Toll. Gymnastiklärare vid Wadstena läroverk från 1888.,F1964_1998,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0120,FGV_Visitkort_058B.jpg,,,"Toll, Svante Josef",Löjtnant; Gymnastiklärare,1837-1903,,,1870,Svante Josef Toll. Gymnastiklärare vid Wadstena läroverk från 1888.,F1964_1998,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0121,FGV_Visitkort_059A.jpg,,,"Andersson, Fredrique",Hotellföreståndare,,Swen Swensson,,1896,Fredrique Andersson,F1964_1481,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0122,FGV_Visitkort_059B.jpg,,,"Andersson, Fredrique",Hotellföreståndare,,Swen Swensson,,1896,Fredrique Andersson,F1964_1481,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0123,FGV_Visitkort_060A.jpg,,,"Ringqvist, Amalia",Postexpeditör,,Swen Swensson,,1898,"Amalia Ringqvist, f. Pihlström. Postexpeditör 1875-1899",F1964_1482,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0124,FGV_Visitkort_060B.jpg,,,"Ringqvist, Amalia",Postexpeditör,,Swen Swensson,,1898,"Amalia Ringqvist, f. Pihlström. Postexpeditör 1875-1899",F1964_1482,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0125,FGV_Visitkort_061A.jpg,,,"Björlingsson, Knut",,1873-,August Roesler,,1884,Knut Björlingsson,F1964_1483,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0126,FGV_Visitkort_061B.jpg,,,"Björlingsson, Knut",,1873-,August Roesler,,1884,Knut Björlingsson,F1964_1483,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0127,FGV_Visitkort_062A.jpg,,,"Holm, Ida",,,Klemmings Atelier,1915,1915,"Ida och Hilding Holm. Paret som fick varandra på gamla dagar. De bodde i ""Holmska villan"", som Hilding byggt.",F1964_1484,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
